Date,Open,High,Low,Close
2004-03-29,1.3595,1.3595,1.3595,1.3595
2004-03-30,1.344,1.344,1.344,1.344
2004-03-31,1.3555,1.3555,1.3555,1.3555
2004-04-01,1.371,1.371,1.371,1.371
2004-04-02,1.352,1.352,1.352,1.352
2004-04-05,1.3171,1.3171,1.3171,1.3171
2004-04-06,1.327,1.327,1.327,1.327
2004-04-07,1.318,1.318,1.318,1.318
2004-04-08,1.3125,1.3125,1.3125,1.3125
2004-04-12,1.297,1.297,1.297,1.297
2004-04-13,1.291,1.291,1.291,1.291
2004-04-14,1.303,1.303,1.303,1.303
2004-04-15,1.2945,1.2945,1.2945,1.2945
2004-04-16,1.3505,1.3505,1.3505,1.3505
2004-04-19,1.368,1.368,1.368,1.368
2004-04-20,1.317,1.317,1.317,1.317
2004-04-21,1.2335,1.2335,1.2335,1.2335
2004-04-22,1.2295,1.2295,1.2295,1.2295
2004-04-23,1.243,1.243,1.243,1.243
2004-04-26,1.2435,1.2435,1.2435,1.2435
2004-04-27,1.236,1.236,1.236,1.236
2004-04-28,1.1775,1.1775,1.1775,1.1775
2004-04-29,1.192,1.192,1.192,1.192
2004-04-30,1.2095,1.2095,1.2095,1.2095
2004-05-03,1.228,1.228,1.228,1.228
2004-05-04,1.2315,1.2315,1.2315,1.2315
2004-05-05,1.2465,1.2465,1.2465,1.2465
2004-05-06,1.2385,1.2385,1.2385,1.2385
2004-05-07,1.1925,1.1925,1.1925,1.1925
2004-05-10,1.1675,1.1675,1.1675,1.1675
2004-05-11,1.1935,1.1935,1.1935,1.1935
2004-05-12,1.187,1.187,1.187,1.187
2004-05-13,1.1775,1.1775,1.1775,1.1775
2004-05-14,1.176,1.176,1.176,1.176
2004-05-17,1.1445,1.1445,1.1445,1.1445
2004-05-18,1.156,1.156,1.156,1.156
2004-05-19,1.1975,1.1975,1.1975,1.1975
2004-05-20,1.189,1.189,1.189,1.189
2004-05-21,1.221,1.221,1.221,1.221
2004-05-24,1.2325,1.2325,1.2325,1.2325
2004-05-25,1.237,1.237,1.237,1.237
2004-05-26,1.2325,1.2325,1.2325,1.2325
2004-05-27,1.273,1.273,1.273,1.273
2004-05-28,1.278,1.278,1.278,1.278
2004-06-01,1.2855,1.2855,1.2855,1.2855
2004-06-02,1.249,1.249,1.249,1.249
2004-06-03,1.247,1.247,1.247,1.247
2004-06-04,1.2335,1.2335,1.2335,1.2335
2004-06-07,1.272,1.272,1.272,1.272
2004-06-08,1.2405,1.2405,1.2405,1.2405
2004-06-09,1.1675,1.1675,1.1675,1.1675
2004-06-10,1.176,1.176,1.176,1.176
2004-06-14,1.1565,1.1565,1.1565,1.1565
2004-06-15,1.195,1.195,1.195,1.195
2004-06-16,1.1825,1.1825,1.1825,1.1825
2004-06-17,1.203,1.203,1.203,1.203
2004-06-18,1.195,1.195,1.195,1.195
2004-06-21,1.197,1.197,1.197,1.197
2004-06-22,1.1635,1.1635,1.1635,1.1635
2004-06-23,1.201,1.201,1.201,1.201
2004-06-24,1.2185,1.2185,1.2185,1.2185
2004-06-25,1.2095,1.2095,1.2095,1.2095
2004-06-28,1.2065,1.2065,1.2065,1.2065
2004-06-29,1.1715,1.1715,1.1715,1.1715
2004-06-30,1.205,1.205,1.205,1.205
2004-07-01,1.222,1.222,1.222,1.222
2004-07-02,1.22,1.22,1.22,1.22
2004-07-06,1.22,1.22,1.22,1.22
2004-07-07,1.257,1.257,1.257,1.257
2004-07-08,1.2515,1.2515,1.2515,1.2515
2004-07-09,1.281,1.281,1.281,1.281
2004-07-12,1.2775,1.2775,1.2775,1.2775
2004-07-13,1.279,1.279,1.279,1.279
2004-07-14,1.278,1.278,1.278,1.278
2004-07-15,1.2895,1.2895,1.2895,1.2895
2004-07-16,1.3135,1.3135,1.3135,1.3135
2004-07-19,1.3085,1.3085,1.3085,1.3085
2004-07-20,1.288,1.288,1.288,1.288
